make,fuel-type,body-style,engine-size,horsepower,price
toyota,gas,hatchback,98,112,9538
toyota,gas,hardtop,146,116,8449
toyota,gas,hardtop,146,116,9639
toyota,gas,hatchback,146,116,9989
toyota,gas,hardtop,146,116,11199
toyota,gas,hatchback,146,116,11549
toyota,gas,convertible,146,116,17669
toyota,gas,sedan,122,92,8948
toyota,diesel,sedan,110,73,10698
toyota,gas,hatchback,122,92,9988
toyota,gas,sedan,122,92,10898
toyota,gas,hatchback,122,92,11248
toyota,gas,hatchback,171,161,16558
toyota,gas,hatchback,171,161,15998
toyota,gas,sedan,171,156,15690
toyota,gas,wagon,161,156,15750
volkswagen,diesel,sedan,97,52,7775
volkswagen,gas,sedan,109,85,7975
volkswagen,diesel,sedan,97,52,7995
volkswagen,gas,sedan,109,85,8195
volkswagen,gas,sedan,109,85,8495
volkswagen,diesel,sedan,97,68,9495
volkswagen,gas,sedan,109,100,9995
volkswagen,gas,convertible,109,90,11595
volkswagen,gas,hatchback,109,90,9980
volkswagen,gas,sedan,136,110,13295
volkswagen,diesel,sedan,97,68,13845
volkswagen,gas,wagon,109,88,12290
volvo,gas,sedan,141,114,12940
volvo,gas,wagon,141,114,13415
volvo,gas,sedan,141,114,15985
volvo,gas,wagon,141,114,16515
volvo,gas,sedan,130,162,18420
volvo,gas,wagon,130,162,18950
volvo,gas,sedan,141,114,16845
volvo,gas,sedan,141,160,19045
volvo,gas,sedan,173,134,21485
volvo,diesel,sedan,145,106,22470
volvo,gas,sedan,141,114,22625
